critic,fresh,imdb,publication,quote,review_date,rtid,title,quote_len,qt
Kenneth Turan,1,160401.0,Los Angeles Times,Aaron and Brown's script resounds throughout with astringent dialogue and stark authenticity.,2000-01-01,13876.0,In Too Deep,12,aaron and browns script resounds throughout with astringent dialogue and stark authenticity
Stephen Hunter,1,160401.0,Washington Post,LL Cool J with his natural charisma is the key to the movie's edge.,2000-01-01,13876.0,In Too Deep,14,ll cool j with his natural charisma is the key to the movies edge
Todd McCarthy,0,120657.0,Variety,"Michael Crichton's story is underdeveloped and narrow in range, resulting in a tale more curious for its odd confluence of elements than for their edifying deployment.",2008-06-17,13139.0,The 13th Warrior,26,michael crichtons story is underdeveloped and narrow in range resulting in a tale more curious for its odd confluence of elements than for their edifying deployment
Geoff Andrew,0,120657.0,Time Out,"At its best, this achieves the beauty and grandeur of a Kurosawa epic -- at its worst, however, it feels like a Python remake of The Vikings.",2006-02-09,13139.0,The 13th Warrior,27,at its best this achieves the beauty and grandeur of a kurosawa epic    at its worst however it feels like a python remake of the vikings
Jeff Millar,0,120657.0,Houston Chronicle,"The film is fascinating to watch, but I can hardly say what it's about, other than people killing each other.",2005-07-21,13139.0,The 13th Warrior,20,the film is fascinating to watch but i can hardly say what its about other than people killing each other
Roger Ebert,0,120657.0,Chicago Sun-Times,"With a budget said to be more than $100 million, it displays a lot of cash on the screen, but little thought.",2000-01-01,13139.0,The 13th Warrior,22,with a budget said to be more than  million it displays a lot of cash on the screen but little thought
,0,120657.0,Seattle Times,The film feels as hollow as empty armor and slightly hackneyed.,2000-01-01,13139.0,The 13th Warrior,11,the film feels as hollow as empty armor and slightly hackneyed
Michael Wilmington,0,120657.0,Chicago Tribune,"Loaded with potential, it's puzzlingly overblown and distant, as if its huge budget were an albatross around its neck.",2000-01-01,13139.0,The 13th Warrior,19,loaded with potential its puzzlingly overblown and distant as if its huge budget were an albatross around its neck
Desson Thomson,0,120657.0,Washington Post,The 13th Warrior seems like a made-for-TV warrior movie without enough money to get really epic.,2000-01-01,13139.0,The 13th Warrior,16,the th warrior seems like a made for tv warrior movie without enough money to get really epic
Peter Brunette,0,120657.0,Film.com,"With the possible exception of the action sequences and the very occasionally imaginative set design, it's awful.",2000-01-01,13139.0,The 13th Warrior,17,with the possible exception of the action sequences and the very occasionally imaginative set design its awful
Stephen Holden,1,120657.0,New York Times,"If the juiciest bouts of professional wrestling on television leave you feeling unfulfilled and pining for the primal howls of fight - to - the - death combat, The 13th Warrior just might be the answer to your prayers.",2000-01-01,13139.0,The 13th Warrior,39,if the juiciest bouts of professional wrestling on television leave you feeling unfulfilled and pining for the primal howls of fight   to   the   death combat the th warrior just might be the answer to your prayers
Lisa Schwarzbaum,1,120657.0,Entertainment Weekly,"The most unexpectedly audacious, exhilarating, and wildly creative adventure thriller I have seen in ages!",2000-01-01,13139.0,The 13th Warrior,15,the most unexpectedly audacious exhilarating and wildly creative adventure thriller i have seen in ages
Michael Atkinson,0,120657.0,Mr. Showbiz,The 13th Warrior indulges in enough grubby histrionics and costume-adventure cliches to give you fifth-grade flashbacks.,2000-01-01,13139.0,The 13th Warrior,16,the th warrior indulges in enough grubby histrionics and costume adventure cliches to give you fifth grade flashbacks
Jonathan Foreman,1,120657.0,New York Post,"As movies about Norsemen go, it's not as witty as The Vikings with Kirk Douglas, but it holds your attention through sheer cinematic power.",2000-01-01,13139.0,The 13th Warrior,24,as movies about norsemen go its not as witty as the vikings with kirk douglas but it holds your attention through sheer cinematic power
Jay Carr,0,145531.0,Boston Globe,All the Aramaic in the world can't save it from its own pounding slickness.,2000-01-01,16665.0,Stigmata,14,all the aramaic in the world cant save it from its own pounding slickness
Lisa Schwarzbaum,0,145531.0,Entertainment Weekly,"A derivative, pretentious rock video with a half-cocked, quote-unquote religious melodrama.",2000-01-01,16665.0,Stigmata,11,a derivative pretentious rock video with a half cocked quote unquote religious melodrama
Eleanor Ringel Gillespie,0,145531.0,Atlanta Journal-Constitution,"What Stigmata suffers from is a bad case of late-1990s moviemaking. That is, it prefers sensationalism to making sense.",2000-01-01,16665.0,Stigmata,19,what stigmata suffers from is a bad case of late s moviemaking that is it prefers sensationalism to making sense
Jeff Millar,0,145531.0,Houston Chronicle,"Unless you are an admirer of splicing, production design and cinematography, there's not much point in seeing the film.",2000-01-01,16665.0,Stigmata,19,unless you are an admirer of splicing production design and cinematography theres not much point in seeing the film
Tom Keogh,0,145531.0,Film.com,How several good actors got talked into this movie is a mystery.,2000-01-01,16665.0,Stigmata,12,how several good actors got talked into this movie is a mystery
Stephen Holden,0,145531.0,New York Times,At first seems to be about the Second Coming but turns out to be a half-baked anticlerical screed.,2000-01-01,16665.0,Stigmata,18,at first seems to be about the second coming but turns out to be a half baked anticlerical screed
Barbara Shulgasser,0,145531.0,Chicago Tribune,Tom Lazarus and Rick Ramage should be ashamed to have written such nonsense!,2000-01-01,16665.0,Stigmata,13,tom lazarus and rick ramage should be ashamed to have written such nonsense
Mary Elizabeth Williams,0,145531.0,Salon.com,A leaden exercise in what can go wrong when movies attempt to explore mysterious forces with dated special effects and easy symbolism.,2000-01-01,16665.0,Stigmata,22,a leaden exercise in what can go wrong when movies attempt to explore mysterious forces with dated special effects and easy symbolism
Jonathan Rosenbaum,1,118843.0,Chicago Reader,"As with some of Fellini's late works, the energy and inventiveness, not to mention the juicy vulgarity, are so consistent in Black Cat, White Cat that you feel you can slice into the material at almost any point.",2012-04-10,770682305.0,"Crna macka, beli macor",38,as with some of fellinis late works the energy and inventiveness not to mention the juicy vulgarity are so consistent in black cat white cat that you feel you can slice into the material at almost any point
David Stratton,1,118843.0,Variety,"A colorful, frenetic mixture of slapstick and folklore that stands a good chance of delighting arthouse audiences the world over.",2009-03-26,770682305.0,"Crna macka, beli macor",20,a colorful frenetic mixture of slapstick and folklore that stands a good chance of delighting arthouse audiences the world over
,1,118843.0,Time Out,"This is storytelling on the hoof, rambling, self-indulgent, but with enough warmth and humour to overcome its own excesses.",2006-06-24,770682305.0,"Crna macka, beli macor",19,this is storytelling on the hoof rambling self indulgent but with enough warmth and humour to overcome its own excesses
J. Hoberman,0,118843.0,Village Voice,"Lacking the emotionally charged metaphors that made Underground something more than a virtuoso Saint Vitus dance, Black Cat, White Catis determined to twist every character into an ideogram for vulgar humanity.",2000-01-01,770682305.0,"Crna macka, beli macor",31,lacking the emotionally charged metaphors that made underground something more than a virtuoso saint vitus dance black cat white catis determined to twist every character into an ideogram for vulgar humanity
Peter Stack,1,118843.0,San Francisco Chronicle,"Bosnian-born writer-director Emir Kusturica makes raucous films so visually dense they overwhelm. But his characters, freakish or treacherous, come up wonderfully human.",2000-01-01,770682305.0,"Crna macka, beli macor",22,bosnian born writer director emir kusturica makes raucous films so visually dense they overwhelm but his characters freakish or treacherous come up wonderfully human
James Berardinelli,1,118843.0,ReelViews,"With all of the horrible things happening in the corner of the world once known as Yugoslavia, it's a pleasant change-of-pace to discover a comedy that transpires there.",2000-01-01,770682305.0,"Crna macka, beli macor",28,with all of the horrible things happening in the corner of the world once known as yugoslavia its a pleasant change of pace to discover a comedy that transpires there
Janet Maslin,1,118843.0,New York Times,"It's a mad scramble through the Felliniesque realm of Kusturica's imagination, and it proves nothing if not this much: give this man the Danube, Gypsy musicians and a camera, and you've got a party.",2000-01-01,770682305.0,"Crna macka, beli macor",34,its a mad scramble through the felliniesque realm of kusturicas imagination and it proves nothing if not this much give this man the danube gypsy musicians and a camera and youve got a party
Andrew O'Hehir,1,118843.0,Salon.com,"There's nothing cynical or cold-hearted about Black Cat, White Cat. Like the waves of geese, pigs, goats, dogs and cats that sometimes threaten to overwhelm the human characters, it is recklessly, indescribably alive.",2000-01-01,770682305.0,"Crna macka, beli macor",33,theres nothing cynical or cold hearted about black cat white cat like the waves of geese pigs goats dogs and cats that sometimes threaten to overwhelm the human characters it is recklessly indescribably alive
Dave Kehr,0,88146.0,Chicago Reader,Jewison's lack of interest in developing anything other than his rather debatable ideological point relegates the film to the realm of moderately competent TV drama.,2000-01-01,10788.0,A Soldier's Story,25,jewisons lack of interest in developing anything other than his rather debatable ideological point relegates the film to the realm of moderately competent tv drama
Owen Gleiberman,1,430484.0,Entertainment Weekly,"Adam Curtis has become the most exciting documentary filmmaker of our time. He's at once a psychologist, a historian, a journalist, a wizard of images, and a fearlessly incisive cultural detective who delves beneath the hidden myths of the modern world.",2005-12-15,568063792.0,The Power of Nightmares: The Rise of the Politics of Fear,41,adam curtis has become the most exciting documentary filmmaker of our time hes at once a psychologist a historian a journalist a wizard of images and a fearlessly incisive cultural detective who delves beneath the hidden myths of the modern world
Elizabeth Weitzman,1,430484.0,New York Daily News,"Though his bias is obvious, Curtis does his homework, getting the most damning evidence from interviews with the neocons themselves.",2005-12-09,568063792.0,The Power of Nightmares: The Rise of the Politics of Fear,20,though his bias is obvious curtis does his homework getting the most damning evidence from interviews with the neocons themselves
A.O. Scott,0,430484.0,New York Times,"A sprawling, intellectually ambitious documentary about the political phenomenon usually referred to in journalistic shorthand as the war on terror.",2005-12-08,568063792.0,The Power of Nightmares: The Rise of the Politics of Fear,20,a sprawling intellectually ambitious documentary about the political phenomenon usually referred to in journalistic shorthand as the war on terror
John Anderson,1,430484.0,Newsday,Curtis' The Power of Nightmares finds that the basis of 21st century political power is fear. And for nearly three hours he makes it very hard to argue it's not.,2005-12-08,568063792.0,The Power of Nightmares: The Rise of the Politics of Fear,30,curtis the power of nightmares finds that the basis of st century political power is fear and for nearly three hours he makes it very hard to argue its not
,1,63823.0,TIME Magazine,"If the result seems less a coherent story than a two-hour pot high, Submarine is still a breakthrough combination of the feature film and art's intimacy with the unconscious.",2008-09-04,9408.0,Yellow Submarine,29,if the result seems less a coherent story than a two hour pot high submarine is still a breakthrough combination of the feature film and arts intimacy with the unconscious
Lisa Alspector,1,63823.0,Chicago Reader,"This 1968 Beatles musical gets somewhat plot heavy near the end, but it's a marvel of innocence and free association, blending several animation techniques in a loose narrative full of gentle bad puns and flowing visual segues.",2007-09-06,9408.0,Yellow Submarine,37,this  beatles musical gets somewhat plot heavy near the end but its a marvel of innocence and free association blending several animation techniques in a loose narrative full of gentle bad puns and flowing visual segues
,1,63823.0,Time Out,"There's such a wide disparity of graphic styles from sequence to sequence. Some of them, though, still look terrific.",2006-06-24,9408.0,Yellow Submarine,19,theres such a wide disparity of graphic styles from sequence to sequence some of them though still look terrific
Richard Harrington,1,63823.0,Washington Post,"Almost 20 years after its release, this charming fable chronicling the Beatles' battles to save Pepperland from the Blue Meanies is one of the best testaments ever to the redeeming value of good music.",2000-01-01,9408.0,Yellow Submarine,34,almost  years after its release this charming fable chronicling the beatles battles to save pepperland from the blue meanies is one of the best testaments ever to the redeeming value of good music
Michael Sragow,1,63823.0,Salon.com,"The movie's boggling matter-of-factness is a key to its enduring -- no, its deepening -- charm.",2000-01-01,9408.0,Yellow Submarine,16,the movies boggling matter of factness is a key to its enduring    no its deepening    charm
John Hartl,1,169547.0,Seattle Times,"Alan Ball's script is a terrific piece of material, and Mendes responds directly to its subversive, provocative vision of a curdled American Dream.",2014-01-28,12878.0,American Beauty,23,alan balls script is a terrific piece of material and mendes responds directly to its subversive provocative vision of a curdled american dream
Jami Bernard,1,169547.0,New York Daily News,"American Beauty approaches a manic, almost cartoonish edge without falling over. Both Spacey and Bening use extraordinary comic timing to bring these very sad, lost characters to life.",2014-01-28,12878.0,American Beauty,28,american beauty approaches a manic almost cartoonish edge without falling over both spacey and bening use extraordinary comic timing to bring these very sad lost characters to life
Jay Boyar,0,169547.0,Orlando Sentinel,"[The filmmakers'] attacks on real-estate agents, corporate America and suburbia aren't so much shooting fish in a barrel as they are shooting fish in a shallow dish.",2014-01-28,12878.0,American Beauty,27,the filmmakers attacks on real estate agents corporate america and suburbia arent so much shooting fish in a barrel as they are shooting fish in a shallow dish
Richard Schickel,1,169547.0,TIME Magazine,"Boldly challenging our sympathies, [Lester] somehow wins them because, to borrow a phrase, he's a man in full.",2014-01-28,12878.0,American Beauty,18,boldly challenging our sympathies lester somehow wins them because to borrow a phrase hes a man in full
David Edelstein,0,169547.0,Slate,"The hairpin turns from farce to melodrama, from satire to bathos, are fresh and deftly navigated, but almost every one of the underlying attitudes is smug and easy.",2014-01-28,12878.0,American Beauty,28,the hairpin turns from farce to melodrama from satire to bathos are fresh and deftly navigated but almost every one of the underlying attitudes is smug and easy
David Denby,1,169547.0,New Yorker,This amazing and impassioned fantasia about American loneliness begins as satire and ends with a vision of the sublime.,2013-02-24,12878.0,American Beauty,19,this amazing and impassioned fantasia about american loneliness begins as satire and ends with a vision of the sublime
Andrew Sarris,1,169547.0,New York Observer,"As the latest mainstream movie symptom of our premillennial malaise, American Beauty is so brilliantly acted, written, directed and visualized that for all its despondency and despair, it is a lot of fun.",2007-04-27,12878.0,American Beauty,33,as the latest mainstream movie symptom of our premillennial malaise american beauty is so brilliantly acted written directed and visualized that for all its despondency and despair it is a lot of fun
Geoff Andrew,1,169547.0,Time Out,"Director Mendes guides an artful path between desire and self-disgust, playing youth against experience, male against female.",2006-02-09,12878.0,American Beauty,17,director mendes guides an artful path between desire and self disgust playing youth against experience male against female
Ella Taylor,1,169547.0,L.A. Weekly,An astonishingly assured first feature from transatlantic theater whiz kid Sam Mendes.,2002-10-03,12878.0,American Beauty,12,an astonishingly assured first feature from transatlantic theater whiz kid sam mendes
Edward Guthmann,1,169547.0,San Francisco Chronicle,"A great, tremendously entertaining experience. I only wish there were more films this satisfying.",2002-06-18,12878.0,American Beauty,14,a great tremendously entertaining experience i only wish there were more films this satisfying
Rick Groen,1,169547.0,Globe and Mail,This is definitely a knife-to-the-heart movie -- the kind whose potent effect is easy to feel yet hard to describe.,2002-03-19,12878.0,American Beauty,20,this is definitely a knife to the heart movie    the kind whose potent effect is easy to feel yet hard to describe
Peter Travers,1,169547.0,Rolling Stone,The kind of artful defiance that Hollywood is usually too timid to deliver: a jolting comedy that makes you laugh till it hurts.,2001-05-22,12878.0,American Beauty,23,the kind of artful defiance that hollywood is usually too timid to deliver a jolting comedy that makes you laugh till it hurts
Eleanor Ringel Gillespie,1,169547.0,Atlanta Journal-Constitution,"At this point in the year, I'd readily call American Beauty one of the best movies of 1999. It is certainly the best-acted, with Kevin Spacey a standout among a stellar ensemble cast.",2000-01-01,12878.0,American Beauty,33,at this point in the year id readily call american beauty one of the best movies of  it is certainly the best acted with kevin spacey a standout among a stellar ensemble cast
Roger Ebert,1,169547.0,RogerEbert.com,American Beauty is a comedy because we laugh at the absurdity of the hero's problems. And a tragedy because we can identify with his failure.,2000-01-01,12878.0,American Beauty,25,american beauty is a comedy because we laugh at the absurdity of the heros problems and a tragedy because we can identify with his failure
Todd McCarthy,1,169547.0,Variety,"An acerbic, darkly comic critique of how social conventions can lead people into false, sterile and emotionally stunted lives, American Beauty is a real American original.",2000-01-01,12878.0,American Beauty,26,an acerbic darkly comic critique of how social conventions can lead people into false sterile and emotionally stunted lives american beauty is a real american original
J. Hoberman,0,169547.0,Village Voice,There's too much dead air around the dialogue and the comic pacing is nonexistent.,2000-01-01,12878.0,American Beauty,14,theres too much dead air around the dialogue and the comic pacing is nonexistent
Peter Rainer,0,169547.0,New York Magazine,"Moviemakers who feel betrayed by the cheery sitcoms of their adolescence can now take it out on all the rest of us and, as a bonus, get points for profundity too.",2000-01-01,12878.0,American Beauty,31,moviemakers who feel betrayed by the cheery sitcoms of their adolescence can now take it out on all the rest of us and as a bonus get points for profundity too
Michael Wilmington,1,169547.0,Chicago Tribune,"It's a picture with a great cool shiny surface, and it boasts superb actors, witty and iconoclastic writing, vigorous and imaginative direction and brilliantly stylized cinematography.",2000-01-01,12878.0,American Beauty,26,its a picture with a great cool shiny surface and it boasts superb actors witty and iconoclastic writing vigorous and imaginative direction and brilliantly stylized cinematography
Richard Corliss,0,126916.0,TIME Magazine,"A perfect game in Yankee Stadium is no big deal these days; two have been pitched in the past 16 months. But a good baseball movie, that's hard.",2011-03-25,10522.0,For Love of the Game,28,a perfect game in yankee stadium is no big deal these days two have been pitched in the past  months but a good baseball movie thats hard
Jonathan Rosenbaum,0,126916.0,Chicago Reader,For the first 100 minutes or so I found this hokey but serviceable; after that my watch became more meaningful than anything I could locate on-screen.,2011-03-25,10522.0,For Love of the Game,26,for the first  minutes or so i found this hokey but serviceable after that my watch became more meaningful than anything i could locate on screen
Roger Ebert,0,126916.0,Chicago Sun-Times,"Thinking back through the movie, I cannot recall a single thing either character said that was worth hearing in its own right, apart from the requirements of the plot.",2011-03-22,10522.0,For Love of the Game,29,thinking back through the movie i cannot recall a single thing either character said that was worth hearing in its own right apart from the requirements of the plot
Robert Koehler,0,126916.0,Variety,"Costner is as uneven as the storytelling itself, stone cold at moments, shimmeringly real in others.",2008-06-17,10522.0,For Love of the Game,16,costner is as uneven as the storytelling itself stone cold at moments shimmeringly real in others
,0,126916.0,Time Out,"[The] game stretches over most of the film, but any anticipated suspense is undercut by the sepia-tinted inserts charting the couple's bumpy uninvolving five-year romance from first meeting to acrimonious split(s)",2006-01-26,10522.0,For Love of the Game,31,the game stretches over most of the film but any anticipated suspense is undercut by the sepia tinted inserts charting the couples bumpy uninvolving five year romance from first meeting to acrimonious splits
Bob Longino,0,126916.0,Atlanta Journal-Constitution,"At two hours-plus, it doesn't just seem long, it sometimes feels like a double rain delay.",2004-02-21,10522.0,For Love of the Game,16,at two hours plus it doesnt just seem long it sometimes feels like a double rain delay
Kenneth Turan,1,126916.0,Los Angeles Times,Those who have even a small soft spot for baseball's soothing rhythms will be hard-pressed to resist it.,2001-02-14,10522.0,For Love of the Game,18,those who have even a small soft spot for baseballs soothing rhythms will be hard pressed to resist it
J. Hoberman,0,126916.0,Village Voice,"For Love of the Gameis designed to put a baseball-sized lump in your throat. Well before that, however, you may feel like putting a lump on Kevin Costner's head.",2000-01-01,10522.0,For Love of the Game,29,for love of the gameis designed to put a baseball sized lump in your throat well before that however you may feel like putting a lump on kevin costners head
James Berardinelli,1,126916.0,ReelViews,The director especially deserves credit for the verisimilitude of the baseball sequences.,2000-01-01,10522.0,For Love of the Game,12,the director especially deserves credit for the verisimilitude of the baseball sequences
Bob Graham,1,126916.0,San Francisco Chronicle,"It is a romance about a man and a woman, and it is a romance about baseball itself.",2000-01-01,10522.0,For Love of the Game,18,it is a romance about a man and a woman and it is a romance about baseball itself
Andrew O'Hehir,0,126916.0,Salon.com,"OK, Sam, maybe you believed you had to sell your soul to Hollywood. But did you have to sell it this cheap?",2000-01-01,10522.0,For Love of the Game,22,ok sam maybe you believed you had to sell your soul to hollywood but did you have to sell it this cheap
Peter Rainer,0,126916.0,New York Magazine,The film comes across like the un-Bull Durham: Every woozy cliche that Shelton and Costner refrained from has been given pride of place here.,2000-01-01,10522.0,For Love of the Game,24,the film comes across like the un bull durham every woozy cliche that shelton and costner refrained from has been given pride of place here
Lawrence Van Gelder,0,126916.0,New York Times,"Filmmaking, like baseball, is a team game, and sometimes even a talented lineup produces unexceptional results.",2000-01-01,10522.0,For Love of the Game,16,filmmaking like baseball is a team game and sometimes even a talented lineup produces unexceptional results
Lisa Schwarzbaum,0,126916.0,Entertainment Weekly,"Depressingly, for a plot propelled by a love story, For Love of the Game sure strikes out when it comes to Billy and Jane's romance.",1999-09-17,10522.0,For Love of the Game,25,depressingly for a plot propelled by a love story for love of the game sure strikes out when it comes to billy and janes romance
Variety Staff,0,80491.0,Variety,Such established names as John Gielgud and Peter O'Toole will have to be seen to be believed.,2007-12-08,16979.0,Caligola,17,such established names as john gielgud and peter otoole will have to be seen to be believed
Roger Ebert,0,80491.0,Chicago Sun-Times,"Caligula is sickening, utterly worthless, shameful trash. If it is not the worst film I have ever seen, that makes it all the more shameful: People with talent allowed themselves to participate in this travesty.",2007-12-08,16979.0,Caligola,35,caligula is sickening utterly worthless shameful trash if it is not the worst film i have ever seen that makes it all the more shameful people with talent allowed themselves to participate in this travesty
Michael Atkinson,0,80491.0,Village Voice,"For sheer camp RBI, this Tinto Brass-Bob Guccione freak is the World Series played, won, and paraded.",2000-01-01,16979.0,Caligola,17,for sheer camp rbi this tinto brass bob guccione freak is the world series played won and paraded
Jonas Mekas,0,58182.0,Village Voice,"At best, it is fun. But ""fun"" is not an aesthetic experience: fun remains on the surface. I have nothing against the surface. But it belongs where it is and shouldn't be taken for anything else.",2013-01-18,9421.0,A Hard Day's Night,36,at best it is fun but fun is not an aesthetic experience fun remains on the surface i have nothing against the surface but it belongs where it is and shouldnt be taken for anything else
Don Druker,1,58182.0,Chicago Reader,"American-born director Richard Lester serves up a helping of what, on this side of the pond, we came to think of as kicky, mod British filmmaking.",2007-09-10,9421.0,A Hard Day's Night,26,american born director richard lester serves up a helping of what on this side of the pond we came to think of as kicky mod british filmmaking
Geoff Andrew,1,58182.0,Time Out,"The mop-tops are likeably relaxed, with Lennon offering a few welcome moments of his dry, acerbic wit.",2006-06-24,9421.0,A Hard Day's Night,17,the mop tops are likeably relaxed with lennon offering a few welcome moments of his dry acerbic wit
Bosley Crowther,1,58182.0,New York Times,"It's a fine conglomeration of madcap clowning in the old Marx Brothers' style, and it is done with such a dazzling use of camera that it tickles the intellect and electrifies the nerves.",2003-05-20,9421.0,A Hard Day's Night,33,its a fine conglomeration of madcap clowning in the old marx brothers style and it is done with such a dazzling use of camera that it tickles the intellect and electrifies the nerves
Peter Rainer,1,58182.0,New York Magazine,"Not only has this film not dated, it may even look fresher than it did in 1964; the zigzag cutting and camera moves, the jaunty ironies and pop-celebrity playfulness, are all standard issue now on MTV and its offspring.",2002-01-22,9421.0,A Hard Day's Night,39,not only has this film not dated it may even look fresher than it did in  the zigzag cutting and camera moves the jaunty ironies and pop celebrity playfulness are all standard issue now on mtv and its offspring
Terry Lawson,1,58182.0,Detroit Free Press,"To watch the final concert segment is to look back decades and realize, as you do seeing vintage footage of Duke Ellington or Frank Sinatra or John Coltrane, that it's never really gotten any better.",2001-01-19,9421.0,A Hard Day's Night,35,to watch the final concert segment is to look back decades and realize as you do seeing vintage footage of duke ellington or frank sinatra or john coltrane that its never really gotten any better
Howard Cohen,1,58182.0,Miami Herald,The music video by which all other music videos must be judged. And none top it.,2001-01-19,9421.0,A Hard Day's Night,16,the music video by which all other music videos must be judged and none top it
Jay Carr,1,58182.0,Boston Globe,"We loved them -- yeah, yeah, yeah. Now we can love them all over again.",2000-12-08,9421.0,A Hard Day's Night,15,we loved them    yeah yeah yeah now we can love them all over again
Desson Thomson,1,58182.0,Washington Post,"To watch the movie, and to enjoy such pop music classics as 'All My Loving' and 'She Loves You' is not merely to saunter down Memory or Penny Lane, but to drink at pop's headwaters.",2000-12-07,9421.0,A Hard Day's Night,35,to watch the movie and to enjoy such pop music classics as all my loving and she loves you is not merely to saunter down memory or penny lane but to drink at pops headwaters
Chris Vognar,1,58182.0,Dallas Morning News,"Richard Lester's tangential, effortlessly clever ode to the Fab Four, given the re-mastered print and soundtrack treatment, still feels fresh and alive.",2000-12-07,9421.0,A Hard Day's Night,22,richard lesters tangential effortlessly clever ode to the fab four given the re mastered print and soundtrack treatment still feels fresh and alive
Michael Wilmington,1,58182.0,Chicago Tribune,No movie of the 1960s catches that era's irreverent joy and exuberance as much as director Richard Lester's Beatlemania saga.,2000-12-07,9421.0,A Hard Day's Night,20,no movie of the s catches that eras irreverent joy and exuberance as much as director richard lesters beatlemania saga
Owen Gleiberman,1,58182.0,Entertainment Weekly,"In A Hard Day's Night, the Beatles, in song after song, pay homage to the faith of love, and that faith connects them to something ancient, lending this topspin musical its near oracular beauty.",2000-01-01,9421.0,A Hard Day's Night,34,in a hard days night the beatles in song after song pay homage to the faith of love and that faith connects them to something ancient lending this topspin musical its near oracular beauty
J. Hoberman,1,58182.0,Village Voice,No previous rocksploitation film had ever done so splendid a job of selling its performers.,2000-01-01,9421.0,A Hard Day's Night,15,no previous rocksploitation film had ever done so splendid a job of selling its performers
Robert Horton,1,58182.0,Film.com,"A Hard Day's Night conveys not just a joy in music and The Beatles, but a joy in cinema.",2000-01-01,9421.0,A Hard Day's Night,19,a hard days night conveys not just a joy in music and the beatles but a joy in cinema
Al Finestone,1,58182.0,Hollywood Reporter,"The film is mad, mad and crazy, shrewdly designed for the teenage and calculated also to attract the curious and the oldsters who enjoy this sort of thing.",2000-01-01,9421.0,A Hard Day's Night,28,the film is mad mad and crazy shrewdly designed for the teenage and calculated also to attract the curious and the oldsters who enjoy this sort of thing
Joe Morgenstern,1,305206.0,Wall Street Journal,"I can't imagine how the filmmakers went about it, let alone pulled the whole thing off, but their film comes together in unpredictable and remarkably pleasurable ways.",2013-04-12,13417.0,American Splendor,27,i cant imagine how the filmmakers went about it let alone pulled the whole thing off but their film comes together in unpredictable and remarkably pleasurable ways
David Ansen,1,305206.0,Newsweek,"A glorious rebuke to all this summer's recycled, effects-ridden, laboriously ""fun"" Hollywood disappointments piled along the wayside like so many crashed cars.",2008-08-18,13417.0,American Splendor,22,a glorious rebuke to all this summers recycled effects ridden laboriously fun hollywood disappointments piled along the wayside like so many crashed cars
Jonathan Rosenbaum,1,305206.0,Chicago Reader,We're constantly kept on our toes regarding issues of representation while Pekar's sour but indefatigible working-class skepticism carries us along.,2007-04-17,13417.0,American Splendor,20,were constantly kept on our toes regarding issues of representation while pekars sour but indefatigible working class skepticism carries us along
Peter Rainer,1,305206.0,New York Magazine,It would be a mistake to regard American Splendor as an anthem for the common man. It is the uncommon that is being celebrated here.,2004-08-07,13417.0,American Splendor,25,it would be a mistake to regard american splendor as an anthem for the common man it is the uncommon that is being celebrated here
Jay Boyar,1,305206.0,Orlando Sentinel,If Harvey Pekar is a brilliant oddity so is the movie that tells his story.,2003-09-12,13417.0,American Splendor,15,if harvey pekar is a brilliant oddity so is the movie that tells his story
Rene Rodriguez,1,305206.0,Miami Herald,"Reminds you that sometimes, simply getting out of bed each morning can be the most heroic of acts.",2003-08-29,13417.0,American Splendor,18,reminds you that sometimes simply getting out of bed each morning can be the most heroic of acts
Eric Harrison,1,305206.0,Houston Chronicle,"The kind of movie that sticks with you for days, your admiration growing each time you remember it.",2003-08-29,13417.0,American Splendor,18,the kind of movie that sticks with you for days your admiration growing each time you remember it
Tom Long,1,305206.0,Detroit News,"An audacious mix of documentary, animation, comic and staged film that somehow finds heart and hope in the gray wash of a real life.",2003-08-29,13417.0,American Splendor,24,an audacious mix of documentary animation comic and staged film that somehow finds heart and hope in the gray wash of a real life
Terry Lawson,1,305206.0,Detroit Free Press,"Codirectors Shari Springer Berman and Robert Pulcini, who have three traditional documentaries on their resume, do a good job of keeping the various Harveys and Joyces from bumping into each other.",2003-08-29,13417.0,American Splendor,31,codirectors shari springer berman and robert pulcini who have three traditional documentaries on their resume do a good job of keeping the various harveys and joyces from bumping into each other
Chris Vognar,1,305206.0,Dallas Morning News,"The real magic of American Splendor lies in the sprightly transitions, the way it takes you from one level of reality and representation to the next without missing a beat.",2003-08-28,13417.0,American Splendor,30,the real magic of american splendor lies in the sprightly transitions the way it takes you from one level of reality and representation to the next without missing a beat
Bob Longino,1,305206.0,Atlanta Journal-Constitution,"Thrillingly inventive, charming when it needs to be, prickly when it has to be and, like a potter's wheel, constantly in motion as it shapes celluloid into visual art.",2003-08-28,13417.0,American Splendor,29,thrillingly inventive charming when it needs to be prickly when it has to be and like a potters wheel constantly in motion as it shapes celluloid into visual art
Mick LaSalle,1,305206.0,San Francisco Chronicle,"It's a humane and witty treatment of an average life that, incidentally, speaks to the worth and inherent drama of average lives.",2003-08-22,13417.0,American Splendor,22,its a humane and witty treatment of an average life that incidentally speaks to the worth and inherent drama of average lives
